Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:fr,Description:fr,Data class,Data type,Members
139581AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:139581,Gastrointestinal Irritation,,,,Diagnosis,N/A,
140039AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:140039,Flushing,,,,Diagnosis,N/A,
140238AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:140238,Fever,Fièvre,,,Diagnosis,Coded,
142412AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:142412,Diarrhea,Diarrhée,,,Diagnosis,Coded,
143264AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:143264,Cough,Toux,,,Diagnosis,Coded,
148787AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:148787,Angioedema,Œdème de Quincke,,,Diagnosis,N/A,
148888AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:148888,Anaphylaxis,Anaphylaxie,,,Diagnosis,N/A,
159098AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:159098,Toxic liver disease,,,,Diagnosis,Coded,
159347AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:159347,Musculoskeletal pain,Douleurs musculo-squelettiques,,,Diagnosis,N/A,
162170AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162170,Sulfonamide drug class,,,,Pharmacologic Drug Class,N/A,
162171AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162171,Eggs (edible),,,,Misc,N/A,
162172AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162172,Peanuts,Pistache,,,Misc,N/A,
162175AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162175,Shellfish (dietary),,,,Misc,N/A,
162176AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162176,Soya bean,,,,Misc,N/A,
162177AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162177,Wheat,Blé,,,Misc,N/A,
162297AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162297,Penicillin drug class,,,,Pharmacologic Drug Class,N/A,
162298AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162298,Angiotensin-converting enzyme inhibitors drug class,,,,Pharmacologic Drug Class,N/A,
162299AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162299,Angiotensin II receptor blockers,,,,Pharmacologic Drug Class,N/A,
162301AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162301,Cephalosporin drug class,,,,Pharmacologic Drug Class,N/A,
162302AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162302,Macrolide drug class,,,,Pharmacologic Drug Class,N/A,
162305AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162305,Heparin drug class,,,,Pharmacologic Drug Class,N/A,
162306AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162306,Nonsteroidal anti-inflammatory agent drug class,,,,Pharmacologic Drug Class,N/A,
162307AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162307,Hydroxymethylglutaryl-coenzyme A reductase inhibitor drug class,,,,Pharmacologic Drug Class,N/A,
162536AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162536,Bee venom,,,,Misc,N/A,
162537AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162537,Dust,Poussière,,,Misc,N/A,
162538AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162538,Latex,Latex,,,Misc,N/A,
162539AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162539,Mold,Moule,,,Misc,N/A,
162540AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162540,Pollen,Pollen,,,Misc,N/A,
162541AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162541,Ambrosia,,,,Misc,N/A,
162542AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162542,Adhesive tape,Ruban adhésif,,,Misc,N/A,
162543AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162543,Beef,Boeuf,,,Misc,N/A,
162544AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162544,Chocolate,Chocolat,,,Misc,N/A,
162545AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162545,Dairy products,,,,Misc,N/A,
162546AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162546,Fish,Poisson,,,Misc,N/A,
162547AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162547,Milk protein,Protéines du lait,,,Misc,N/A,
162548AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162548,Strawberry,,,,Misc,N/A,
162552AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162552,Reference application common drug allergens,,,,ConvSet,N/A,162301AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|71617AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162298AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162299AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|73667AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162305AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162302AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|80106AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162306AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162297AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162307AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162170AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
162553AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162553,Reference application common food allergens,,,,ConvSet,N/A,162177AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162543AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162175AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162171AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162172AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162176AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162548AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162544AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162545AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162547AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|72609AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162546AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
162554AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162554,Reference application common environmental allergens,,,,ConvSet,N/A,162536AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162542AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162537AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162540AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162541AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162538AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162539AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
162555AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162555,Reference application allergic reactions,,,,ConvSet,N/A,143264AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|159098AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|121677AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|159347AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|148787AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|121629AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|142412AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|136455AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|118773AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|120148AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|111061AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|121AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|108AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|139084AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|148888AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|140238AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|140039AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|117399AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|139581AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|512AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
